FPKM ErrorRate
1044.9610872150192 0
1070.8654856564613 0
286.73727330535945 0
765.6818672035041 1.146079262841818e-05
832.6556414640863 0
773.6462202139495 0
976.4491361168515 0
757.3705412072734 1.2310722639418933e-05
724.0500361360729 0
1273.8501607884655 0
385.9310212780076 7.609191903819814e-05
1180.8884990598467 1.0815838714213093e-05
1035.2743002627906 0
976.2196973032893 0
833.7339992838381 2.051955513604465e-05
751.4891313406781 1.9772223979753242e-05
324.52765105957513 0
415.21894335135505 0
488.36257430862156 0
450.4261691253127 0
605.8603727887182 0
405.6795126596705 0
7992.166750660997 1.303666780096819e-05
883.3508452013255 0
3520.2318776222946 0
1453.064595259661 8.498848406040981e-06
264.39572365882367 0
464.76816713023794 0
905.6337632086096 0
1481.040342758722 5.72962473822777e-06
605.0958311708538 5.478671531726987e-06
347.0408565294024 0
1807.9682551405022 9.49732555312424e-06
366.22303307084053 0
249.69967252010488 0
259.42084707781095 0
471.85492197867893 0
1008.0242409917669 1.637089908977801e-05
1297.657195646673 1.7261468087860874e-05
484.07302882205704 7.885813421654443e-06
905.8011800488753 1.153322722764284e-05
365.53356280462106 0
546.5579962160135 0
794.3137001666325 1.1368674753583975e-05
388.6603010847333 0
282.6658899536358 0
239.5628381527069 0
1218.2857373117502 0
31549.06988317591 6.458571835068192e-06
41138.49083318336 4.431580200206132e-06
1089.6140702652567 1.7113910186199342e-05
899.0409600597815 9.783778495254868e-06
1416.3780133843989 3.4330284804042735e-06
1285.5924957842465 2.7681354393307754e-06
1393.3221747096136 2.8843796420484866e-06
860.0667833590195 0
1252.0146601876124 0
4291.584937385418 2.0765326887775868e-06
406.14241234561126 0
481.73731923867047 0
633.9714675815546 0
389.62425681155685 0
317.8644281658528 0
399.2442025667296 0
829.1201259842898 0
2531.9483541886675 0
1275.3726149703637 0
375.42223407529303 0
556.6917450081941 0
268.80108574908087 0
691.9100373281203 1.904653067443765e-05
1689.6262796457395 1.554436361375365e-05
398.3118246999227 0
534.6111245522226 0
1328.7129312755062 4.483802264320144e-06
786.1133544485737 0
1722.5538086517818 6.641429235571495e-06
517.0857957797521 0
457.0547909116979 0
3325.0086134545227 5.418621635111223e-06
558.2859283412442 0
194.68049858928805 0
446.51660039390146 3.76236878738854e-05
577.447947250231 0
238.90811693005938 0
852.1763249623284 0
776.7743605909333 0
