FPKM ErrorRate
2100.791587056584 0
7363.568877881759 0
6658.218399306038 9.674922600619196e-05
6235.722456874308 0
7908.428261136387 0
10959.317854721356 0
3158.6046241024574 0
5291.541188145251 0
3408.128303463152 0
2770.097754114961 0
3139.750302293779 0
6701.194239538178 0
5535.831171487372 0
3647.762324800405 0
3893.817911415323 0
14651.45087865391 1.6826801729795218e-05
4295.258291545003 0
12485.014019841397 3.2642402480822586e-05
7856.213596876108 1.68335998653312e-05
3917.9188366602893 0
2452.4808881826716 0
7801.849884967915 0
3649.9211898574977 0
6200.742743609696 0
3357.538898958621 0
3551.682959636924 2.8042624789680313e-05
2084.2242966925264 0
2832.7108077829585 0
4653.191966563672 0
5754.361315523693 5.4650781506175536e-05
5937.965783894825 0
5748.9558137795675 0
2953.8560997489944 0
6334.0551911092525 5.343593031954686e-05
5129.034203682286 6.254495418582106e-05
4170.773085655521 0
2915.5472596032437 0
6533.180160668263 0
2311.4698308155853 0
5171.588922021911 0
7797.791499712374 0
17751.892431220967 8.62009516585063e-06
2344.601049674713 0
9424.085686982775 0
3211.761535978459 0
9076.441126357213 0
4715.429985656075 0
6163.001410828774 0
4539.895757895395 0
8202.856884236733 0
6523.251714765427 0
2848.6494286465936 0
13782.349736998125 1.8940111367854844e-05
8237.910536790481 0
5941.6233895132045 0
27256.59046655803 0
5868.497713013096 0
16968.404700232837 4.178214788094873e-05
2519.6301808721305 0
2483.2662799360423 0
3316.9595231934936 0
2422.246594057637 0
8292.258807581786 0
10253.553845570957 0
2593.430513530342 0
3885.7578229148394 0
9365.357867799134 0
6777.341680384357 0
10485.67260835357 1.9667359394769794e-05
9660.418636035405 0
11248.839739472016 2.298058140870964e-05
12085.900903063779 2.118329908699981e-05
7172.0768204270735 0
8933.849407881984 0
7046.8377874574835 0
11291.444908849822 0
7514.5923794516475 0
2359.3966350830356 0
2337.382636694316 0
7620.352525128024 0
6642.500468874238 0
5594.788748165585 0
4325.370169566423 0
4684.6635762180385 0
2086.8129358119104 0
2378.589545125325 0
30851.829220761938 1.1355635802048556e-05
2690.2912795462257 0
2214.395863838689 0
3908.1183218958067 0
3738.4571453759627 0
15570.386948902826 0
9024.478325287704 0
3106.97903526921 0
7327.354825162274 0
9093.750720717895 5.4288227055080835e-06
2575.3771258658785 0
3817.8056581230517 0
7680.175290993346 0
11079.079586492326 1.802451333813987e-05
5481.459005023744 0
3556.6194705311086 0
11217.730990416934 1.4990930487055332e-05
6812.928356629955 0
7216.5975711444935 0
3774.8063932553937 0
3291.639543090877 0
2974.325415780306 0
2490.978287016589 0
7174.260573585943 0
13212.17477936643 0
3147.193480229255 0
4754.3827521021185 3.835826620636747e-05
9122.538282868167 1.9810218110501396e-05
8195.962061573893 0
3974.8817824988773 0
7904.850473086561 0
2514.160273863345 0.0007942811755361397
15037.622177200208 3.905792289966019e-05
5514.504856870685 0.0001766472354707649
2692.631890917427 0
8780.404647795393 0
13955.804041765387 1.2497031954910708e-05
2755.7912453784083 0
19348.606063244762 0
4719.74833329459 0
10654.00914490531 0
2898.1379503607936 0
2513.721918946265 0
2196.645195591485 0
3307.3812674655082 0
2135.6856638477975 0
12467.968728717104 0
4035.610053916035 0
55412.37200897302 9.009496008793267e-06
2006.934928699493 0
10069.848197765717 7.511737089201878e-06
2115.1696283368187 0
13269.348763118458 8.931362479346224e-06
2376.910427858698 0
2727.748966285751 0
2530.5352653213904 0
5049.0236230395 0
7388.098839310889 2.0872033562229967e-05
6289.787923685371 0
4062.280770800451 0
3514.632312946376 0
4377.098903254777 0
9645.010014645493 0
4277.93168788806 0
9344.19071663147 2.7398761575976766e-05
6223.040004987318 3.233211549031653e-05
32282.669405093413 1.2624137350614375e-05
9720.812900434621 3.184966955967832e-05
13481.869842150401 1.584183511818009e-05
15044.558232605765 0
6651.474255519225 0
11055.373855349288 0
4807.657553078636 0
8114.665781361485 0
10774.202141827484 0
10384.140924614292 0
7466.532297085566 0
21389.28464842573 0
16723.7354380343 4.064958029308347e-05
3475.8027261556167 0
11940.335670322285 0
11773.479744951625 9.528891599329166e-06
8325.950941350997 0
14457.540718593504 1.9638648860958365e-05
7610.061819712778 2.7622020274562883e-05
7086.344832691969 0
6259.312707711403 0
6167.4913296474015 0
8808.197932805604 5.985873338920148e-05
5906.91856731132 0
3589.1197797015134 0
6074.056790840091 4.214963119072708e-05
11857.150544661432 2.4950722323411262e-05
10237.496199435687 0
10349.322306129392 2.4737779536908766e-05
21311.649527240217 2.3136365739669612e-05
17519.794792738667 1.9652156824211458e-05
22225.229592954547 5.716899153898925e-05
15141.390657900658 1.90863734745216e-05
13679.368062180454 0
8671.126856119421 7.741136398823347e-05
5701.200817032887 1.2901228196924348e-05
8291.37463968074 6.784413939709175e-05
7249.840616487415 2.2858710311564223e-05
11072.588181164983 0
12106.671497344976 0
25719.16726093416 2.261488360873236e-05
7828.745381289843 0
10213.986589936952 2.3137436372049977e-05
2204.6329963027265 0
9016.393737254944 0
2625.2588922922623 0
4667.31633224918 0
4900.016498802369 0
5708.721412310263 0
4993.752651545281 0
10526.163404441582 2.1974480303540823e-05
11864.589601596213 0
4112.9105177328165 9.808729769494851e-05
4753.067900057156 4.579173917025369e-05
9223.371641818983 2.4281470809625176e-05
3223.913519618624 0
6911.959502240239 3.6341170912526803e-05
2241.7376189613983 0
14063.933539395419 4.686167371153828e-06
2305.709397610363 0
8438.819214815536 2.8858363153641924e-05
14312.775103692102 1.1343270037886522e-05
8934.463038776767 0
7511.469360005214 0
3323.6739521932523 0
19396.987024198253 8.615193755707565e-06
3643.3246577386044 0
2501.1800977075773 0
2407.7513572457315 0
13702.793475924385 0
2802.386749527319 0
2110.1106878863657 0
128259.04303225374 1.084454194204057e-05
2851.6448539133094 0
5612.412106292163 0
5539.6247698494735 0
2214.7992881170344 0
17797.580727571527 6.28590825088317e-06
13629.888115027317 4.1271151465125874e-05
6330.180204329987 0
9050.61689512083 1.0098052085752658e-05
12389.132512536722 0
7858.556473845402 1.289906481780071e-05
16404.232514220694 0
5391.1949228945305 0
2050.202182552053 0
2360.742405855038 0
7194.726212054188 0
5943.286811014383 6.109108681043436e-05
3954.6055295413853 0
2618.0016831094877 0
9881.65833612274 5.052163589057014e-05
2426.2944660396856 0
2429.8184957652334 0
3889.4445001661816 0
5771.733449558582 0
24872.17295273839 0
2540.881369099761 0
4120.857299886149 0
2730.335616738187 0
3070.865606766278 0
4309.183548399895 0
5052.283949860415 0
9603.33340509041 0
3583.617864543464 0
6041.7081134993 0
4137.055217765123 0
29645.031670298114 0
14019.04669398422 0
6428.886309577323 0
10153.16035404755 0
4976.537563805536 0
4564.670443756254 0
9952.482290152486 5.315190815350271e-05
2580.059629731089 0
2666.696545137635 0
3296.900325817366 0
4318.621819317014 0
5837.484759775481 3.040807638508788e-05
3374.845800499645 0
9372.594889090677 7.74773378786705e-05
2246.5689500367457 0
8410.044732172126 0
7222.331468615532 0
10057.97239557192 0
7490.838173320836 0
3116.619484403467 0
2145.2950481620733 0
9529.973744784807 0
5849.080295642395 0
4305.42458335931 0
165922.76632712054 7.170037437838336e-06
10346.778630964935 0
11223.324406312773 0
14334.883312213238 8.316838270762986e-06
7231.675898323714 0
11868.449371847095 0
2875.6082560470345 0
4179.134699700539 0
7036.319719335315 0
5697.757783731566 2.1768944423884887e-05
10742.159167254926 0
10853.775438792827 3.698224852071006e-05
3157.6774686627596 0
9960.156871072855 2.110461557942722e-05
3102.385200897015 0
2105.020422727241 0
4093.3847826608926 0
8689.57429537787 0
2384.6913373353013 0
9332.865119143236 0
