FPKM ErrorRate
2294.4483421385657 0
2577.800522289326 0
3301.2906810192844 0
1734.6814390295626 0
1848.9481834312953 0
1452.6539828474686 0
1581.778781322799 0
1898.0791983880124 0
1655.407389815115 0
1874.5289103660873 0
1521.324898400258 0
2241.6835909636634 0
1452.6539828474686 0
5882.674633517748 1.5011408670589649e-05
2176.7112024230037 0
1573.4536298421526 0
1673.7100237155614 0
1713.8290635135863 0
3317.9058840170123 0
1624.3312717294418 0.0002032520325203252
2036.5014877343826 0
1625.3761377310905 0
2201.808394001663 0
3196.4749610890353 0
2265.3952624816166 0
1798.5446277185126 0
2980.7952250656135 0
1996.086587274142 0
5382.776689531568 7.580639047871736e-06
1689.2290600540564 0.000819000819000819
2212.5396117359146 0
4093.2561116679776 6.226133156234434e-05
1911.5816105495985 0.000484027105517909
1928.2636572316026 0
2595.1261065003346 0
1640.5305646290747 0
22720.700212951102 0
1481.707062504418 0
1481.707062504418 0
3533.5359782769965 0
1621.161844857775 0
1548.5291457154015 0
2909.1817096491973 2.7740790057700843e-05
1525.286681989842 0
1955.9124135153031 0
1868.128075350993 0
1530.1288619326667 0
1782.844538948671 0
1959.5610488620516 0
1569.8857077790187 0
1600.7538279280152 0
1577.743631370445 0
3643.4406529792727 0
6845.695704408583 9.726491071081197e-06
1736.9030324641083 0
2368.7376995619893 0
1515.6023221041921 0
2409.189698671607 0
2526.546068963368 0
1561.6030315610287 0
2885.7100303050424 0
1452.6539828474686 0
1459.9172527617059 0
1754.0796842883183 0
3660.1783336237445 0
1631.0398919411377 0
1624.7376085078608 0
2077.29519547188 0
1965.233316795075 0
1547.7367889974846 0
1452.6539828474686 0
2239.743904881165 0
1844.1256074558503 0
1895.2418067124245 0
2285.483647478401 3.319061369444721e-05
3060.71096108747 5.6233797637055825e-06
4028.391076183886 0
2338.2966323900478 0.00010184336490477646
3529.44243855789 0
2990.0070648561245 0
1780.2040260766234 0
1630.292812749959 0
3754.192201188791 0
2955.3556065638422 3.587830080367394e-05
2177.1363342929835 0
1600.7615302290908 0
2470.2969892098035 0
2674.3837222244424 0
2542.8149256674615 0
1878.9910354878189 0
3354.0166403967105 0
3348.2916134496963 0
