FPKM ErrorRate
3190.9450623249018 0
12022.340598719187 1.045019437361535e-05
4036.6426664116034 0
9932.95258977023 0
12902.461599482322 7.669240975220683e-06
10553.669920871549 0
2227.0858610177647 0
5233.590299760844 0
5938.462234580267 0
4752.897501196253 0
4558.995149439071 0
5358.785770777452 7.0221760319087675e-06
8411.80190993896 0
3498.965328232546 7.676659117951867e-06
10767.642136630386 0
13393.917750576453 0
11189.03334990006 5.174068602975607e-06
6808.13631863081 0
4993.752959395588 0
8884.977225224851 1.132310479533488e-05
2306.3591265830737 0
2406.4328952166957 0
3400.077765167879 0
7009.060268370986 0
8926.381050953432 0
3497.6680345891205 0
2882.619799194478 0
2311.9259888809165 0
2016.7853680525673 0
10720.630950521234 0
7519.282706341072 0
2900.175116846989 0
11101.550734287763 0
2534.5605601563843 0
4162.457149018197 0
3194.8092868470544 0
7725.920905860934 0
3153.7695975307047 0
4010.8157853527478 0
3080.8064416892457 0
10365.77734762217 4.3148084225060405e-05
4129.053508070586 0
1982.8678909701825 0
12204.424537943838 0
5221.404936458994 0
11203.978141751442 0
3079.6120450187623 0
11693.625368941608 5.495471731293414e-06
6023.6134779965905 0
3243.646507403623 0
2531.8837562707618 0
16467.490751683596 0
2133.219158349724 0
3261.5770195021964 0
5379.585192920358 0
14152.593603579367 0
2595.469707812023 0
7146.318942403479 0
3852.3669253921016 0
10219.4065063331 6.648494116082707e-06
2654.132548479315 0
11343.812337700478 0
8203.197788142377 2.8722261475979573e-06
7123.120021214348 0
2295.201492879912 0
14397.269348565893 0
5422.042398194499 0
8116.865229905611 0
2474.5082438710956 0
3887.7663037207435 5.8186896310950775e-05
3409.397074141069 0
3566.384842099384 0
9046.87577514106 0
18970.556017448867 3.532470468546883e-06
11717.930187977568 4.190465015902815e-06
3571.2548685983675 0
3666.289524482249 0
10963.02854849188 0
9588.2542892575 1.3898798217247482e-05
10681.287534390092 0
10768.798973657144 1.1113642551914603e-05
10595.692821645072 0
3788.424274723243 0
4443.3049418941055 0
5827.166110796304 0
5421.000209737257 0
4161.305339688914 1.1142930367828132e-05
3082.2899736709733 0
2381.1648695523154 0
2621.012604802692 0
13010.640773620044 2.966434790347221e-06
15969.889696289405 8.992967499415457e-06
9665.162572275538 7.179317821220628e-06
6973.622026963304 1.7057569296375266e-05
2556.305866572966 0
2872.9741321125507 0.00010559662090813094
5024.54646367541 9.305701603372386e-06
4370.28949291061 0
2675.5542184371634 0
12853.504994160203 0
14523.977744402902 5.335737972579643e-06
8961.001405753057 0
3595.522471080914 0
11511.651018049974 3.0905882316581313e-06
2983.4742310989477 0
3212.6140130517033 0
3498.2677317263137 0
2041.5712166896947 0
7967.523707352916 0
2961.9656303258116 0
2181.381552823605 0
2702.7200526830156 0
46261.13501647925 0
11173.936083595927 9.415043356274656e-06
16141.969447748284 0
5675.394971807759 0
3612.668737786071 0
17202.054979869627 9.210732345328777e-06
5680.870213659674 0
2983.1026540272587 0
10282.463810961095 0
10126.457712473624 0
3578.8912284450143 0
3472.1060385567357 0
2849.351882347458 2.6211632722602292e-05
5429.761147611832 2.730151796439882e-05
5236.310907107785 0
9382.957384244468 0
2750.903069133798 0
1999.470851779742 0
3238.699751898314 7.192692224699705e-05
8462.983831021415 6.785503450428505e-06
2054.6164001829197 0
5403.949479648161 1.5795043515344886e-05
5882.0201119134545 0
2433.6233089545262 0
16033.426747153833 0
11869.190350832829 3.7172924728544718e-06
3320.2166187506205 0
3391.4009923981193 1.9168839135101977e-05
3195.961697055921 0
2975.054443195268 0
5637.30868369971 3.734394897322812e-06
3936.2789159879217 0
2372.880509230862 0
4345.47789167607 0
4626.037148575928 0
5044.627577323697 0
5349.406663539313 0
3161.3246113437194 0
7742.818141055632 0
5715.443300114872 0
10773.449697358128 5.373657257392809e-06
8121.800034072985 0
13163.538064571723 6.858193140435221e-06
4470.030409582566 0
17150.83938843936 3.680394538294505e-06
3998.348740673428 0
2493.6151838244878 0
14340.95507200594 3.4852313322296766e-06
28607.558541851908 4.108151188180028e-06
9935.604890956307 0.00010791560999298548
10885.215283940923 0
1995.9130744634076 0
4711.148590841963 0
2841.986403881136 0
3169.241182240823 0
2779.2452832708636 0
2750.4100825482974 0
2939.3100501440354 0.00015664160401002505
4548.088706126466 0
3820.0970169712277 0
9451.686311238662 0
3785.820095447955 0
3881.641938134255 0
4977.070140381861 0
2377.1223254320903 0
9423.840555505658 1.6950301715370534e-05
3992.9485834530005 0
6027.977923614962 1.307178150952933e-05
2078.9278785112024 0
11457.269778359925 1.3087292239235702e-05
4577.980852947901 0
7431.841036090218 0
7357.12112397069 3.283586990428344e-05
16973.750855529794 6.0996065753758885e-06
8193.658985521697 6.912187569121876e-06
4988.84819038006 2.270508366823332e-05
11760.652071035758 0
5597.945236817104 1.7434055684373856e-05
3894.2230290558196 0
1982.8678909701825 0
6159.073095116813 0
5795.95027907926 0
17429.24720561881 1.198609612849095e-05
3299.7972829216424 0
9200.08802049623 1.8024675781144387e-05
3808.4951763164845 1.9647909462433196e-05
6111.814307100648 4.9369794572284785e-06
11936.717997423579 2.09494280806134e-05
3659.1739698495808 4.7323837016705316e-05
3494.9480865539826 0
4033.529719123543 6.631959412408396e-06
4576.989448078538 0
6589.5317922850145 1.0134895458553346e-05
9326.325528267316 4.890728889780088e-06
8122.602876091366 0
2690.569095477633 0
2490.25686999614 0
2646.204778827313 0
23017.262709105475 2.415155584322742e-06
3963.8721842984764 0
2607.794300217051 0
10002.062888396851 7.2324360291033225e-06
19622.14723697157 0
4050.063131099143 1.8423161598761963e-05
12011.920154397276 6.229559258682448e-06
2397.9640092049103 0
2735.4119137355933 0
11846.199212611633 7.423904974016332e-06
9578.504882219888 1.647487170193662e-05
5510.238261400791 0
5083.9367215657885 0
10796.923910546207 0
11644.801563626475 5.300905924822552e-06
2048.4665279646847 0
2316.293936864812 0
5910.638094044615 4.948584210057502e-06
5100.472041619688 0
14899.361701065332 7.943526819994387e-06
5667.513295742667 0
5475.769235147922 0
3426.5348642204035 0
2852.2099430574162 0
16170.984040582889 8.996689218367641e-06
3069.857805543146 0
3018.7259748376073 0
9513.77274840091 0
2715.518008908425 0
2439.8344109007503 0
3257.849975779709 0
4852.520498079072 0
2179.747173427142 0
2423.298133670013 0
8838.793281469207 6.608511763150938e-05
5726.468083568169 0
11487.946193411062 0
5422.010978065989 3.52092839840009e-06
4398.401034465657 5.4923930356456306e-05
4233.315516298455 0
9582.25591197723 6.981485101510793e-06
9038.61345577568 0
9573.787553332006 7.846029516763043e-06
5024.696340889478 9.440775654127744e-06
3191.3434400816823 0
4280.868069960259 0
3811.1119893589057 5.033725963958522e-05
14410.64426692617 0
2989.7713460844075 0
9854.949540526495 0
8918.281900026452 0
10459.45339936803 8.494083870584138e-06
2417.282309703213 0
3823.7459012051445 0
5774.272584410179 0
4530.778586961192 0
10211.997964013291 4.089979550102249e-06
2182.144314677032 0
6964.47437057309 1.5829046299960428e-05
6399.9023349158315 0
6080.948073323679 0
