FPKM Num_errors Cov
329.79620360500456 0 9400
611.0587087949157 0 75222
1306.0358130806549 1 72525
1100.709814688898 3 185533
1597.6115539393495 2 615519
781.0223759678177 0 85398
459.4722984389411 0 20886
515.9628761980993 0 103197
757.9358502333597 0 19182
212.30922979593095 0 313
897.0093107131312 0 54440
1763.4593366653555 0 44630
582.6524966358721 1 71582
519.5164539841402 1 8042
270.4784022458479 0 2459
788.4564106169947 0 35453
621.7239841595949 0 64161
561.3228542994901 0 7172
936.2500417593097 1 24615
643.3982546351901 1 28140
1158.636323981101 5 358424
21659.1966032111 8 1410303
4776.908438648471 2 291087
218.36179078298625 0 1395
426.85287358708314 0 5349
310.9177099287854 0 11001
1726.4779004909738 8 578204
273.032205785627 0 4629
603.5611053966545 2 121014
926.328273472929 1 66917
2555.10773964849 1 258033
513.1225992123926 0 20551
234.06996339128287 0 2128
1246.2239769066816 1 229658
405.8778822105141 0 6981
634.2027774927585 0 54229
524.3415169331282 0 7086
632.4637503607787 0 39317
1235.9905466730236 0 23992
1176.2609634943124 2 101157
1378.1615022942267 0 102266
231.55165032056638 0 2162
846.4244381531536 0 8527
719.3869674088044 1 43660
1202.1058627068153 2 135575
213.83541435516688 0 1261
920.0987778408123 1 54937
783.9239121584613 0 18684
240.11970398645227 0 2242
957.3923039960342 0 35051
215.11934739706376 0 370
218.583544095012 0 1289
225.00320930449644 0 2709
871.1461464118662 0 12843
802.4280277360086 0 90696
470.1791651854317 0 10282
872.8210361332841 4 125460
832.5993672076562 3 105358
1530.009214516902 3 62406
844.0404188389055 0 24472
581.3459040695996 1 61851
394.72883542209166 0 8923
1217.0092018280668 9 824432
918.2967704891494 0 21661
319.16823756738995 0 2039
524.1050488116972 0 59238
851.4044892178334 1 56693
6133.590392658782 2 168794
687.521964839472 0 44429
576.9217977936875 0 18003
250.00356589388494 0 3870
713.0983904255896 0 37321
547.7615127148575 0 5922
500.221333129417 0 16347
300.58568271427566 0 4136
746.7981242750741 0 50278
1476.1058528857122 0 29741
708.636245055081 0 64076
576.0471031450483 0 8634
1070.465849848078 0 10521
685.1332777635083 0 29797
2282.842393235371 2 221563
1726.0082585033267 1 72945
825.5569318400596 1 74851
757.8563805308462 0 16573
835.3963758462728 2 177555
670.7072409655481 1 18128
553.1024127364261 0 8426
310.0944454980865 0 4724
980.7680930274161 0 16387
555.7235344980326 0 27446
782.2006066197783 0 7880
509.904169981698 1 132681
769.7629403344653 2 63929
900.0846154453455 0 17914
648.2918944134882 0 10354
4374.616394869967 2 78467
480.2183207941932 0 22773
609.2405432424623 0 9880
1143.1290061266006 0 25560
1338.681884815512 0 36840
1679.6325337309922 0 129589
1105.597164892585 2 152128
1062.224453228204 1 70209
1007.6409113449428 5 332511
6424.219538010422 2 366212
9306.25239792342 26 2878888
2835.1954154889127 13 1291567
1142.5919566089526 0 272044
431.2948690950502 0 24268
1609.9202046432174 1 119068
2043.3714888629597 4 365011
1873.5666031194 1 242147
966.0664861900061 0 57919
418.49252434715106 0 6581
337.99900705211627 0 3322
844.3918888369432 0 17428
1345.2309031936886 0 35037
1144.153740209344 0 77311
2352.9215470393783 2 230099
1096.9009066682331 0 370321
2245.9272039399384 1 393468
581.804164122353 0 12866
1752.068157229758 7 317280
374.11088169988324 1 7170
823.0032821424275 0 15571
5210.198815826563 1 253480
2888.851244279903 4 434411
1878.0000253272422 2 125513
6269.402912422088 39 3513789
2482.0891995434968 1 354338
852.3377386056634 0 11728
424.44151065745774 0 14392
385.78744671142726 0 16873
1222.9825601343882 0 19232
726.8261263290485 0 188590
361.34854840802933 0 4173
572.7405663000017 1 50803
442.4091508893832 0 16197
1199.3127526099458 0 112864
2169.0142464764094 5 288859
514.5307819693325 2 70672
233.11960414142348 0 2864
1378.6917241122403 2 116872
838.862854205911 0 14016
1130.054878083134 1 16660
877.1385088703189 0 14440
478.595198474421 0 29399
771.2471165165667 1 50787
701.8116463804474 3 87256
783.6602148965544 1 107445
729.1137091013474 1 65211
543.835569942951 0 13229
1635.7802344509696 3 429260
1361.1496409977387 0 253178
2300.0628317639184 0 120377
6065.63643291407 7 539522
1025.7279468370539 0 155504
1204.124603556299 1 219237
203.49127456479005 0 50
407.9895162614471 0 9724
845.7097370912675 0 24936
470.06484424466504 0 4851
13727.989851262037 1 468863
1461.592490148263 1 133596
327.3302502285051 0 3378
3205.168090848686 0 390622
553.5847412834311 0 12514
667.036092257073 0 8031
404.9296283065371 0 11243
333.753004551298 0 12219
592.5459848213203 0 11502
207.56110005608585 0 51
2692.0971428381586 11 1602098
725.0660666809193 1 55763
450.39402103673535 0 18260
209.1264175527381 0 668
340.57333317637244 0 5272
320.79800931390434 0 1340
423.4154294151895 0 5514
929.4463965746786 0 18270
560.5649110905848 0 23553
1594.985827138542 0 82692
534.1467456207699 0 7481
610.9161960303807 1 13810
596.8323715846565 0 31676
519.0299321868176 0 4081
398.1588938627371 0 23284
1482.5017656293503 0 27320
792.9494837013192 0 55918
912.9819253462421 0 58550
3816.474524861051 3 220371
4023.978433900832 3 425156
914.4723377433739 1 162455
4252.473727543518 4 430490
1434.4466895550772 0 21500
412.6613753965045 0 8720
779.3715815831459 0 12639
1165.3422171060993 2 475606
2431.4887947578018 2 555622
1534.1797970559226 3 233718
2294.620807212834 10 1173295
1656.4312334679068 3 270250
593.9440709297226 0 9486
658.1377414674306 0 8409
1614.8442211036122 3 315047
849.0468377628251 2 108691
323.55112655801616 0 1908
1908.4454411249897 1 283700
978.2621838534278 0 22114
2305.0150934302287 3 240706
280.53589178615215 0 6962
1230.8229592426198 0 20565
523.1164583508996 0 12725
697.2214003699529 0 9251
582.3853559593614 0 8729
334.7431466590796 0 2632
689.7778289044784 1 71862
905.2566508317708 1 161930
1379.982861503609 1 101723
1220.2349283583496 1 183193
