FPKM Num_errors Cov
271.72204611373945 0 6815
258.04237516745997 0 3289
894.4099291667304 0 88259
834.9609686614251 1 209758
832.0955331786932 1 230592
466.2985895799999 0 77648
259.4284343428806 0 640
513.0895118779805 0 16666
743.7911908210409 0 35169
294.59609953232206 0 12476
543.8754983227027 0 11181
952.891287523407 0 26250
295.0899573106691 0 9949
364.0252621893057 0 8232
543.0045600074088 0 28131
740.7247770540579 1 64566
283.65304840792015 0 7814
11730.05537705231 5 1220202
474.7775717013938 0 12103
590.0549177983888 0 54344
7853.394787228833 4 813709
595.3708843771112 1 34271
709.8931661624581 1 89899
2644.789970981591 2 620924
392.0251896736862 0 4352
836.804103275303 1 79478
1485.9256691602734 2 118525
1069.8817050673863 0 24634
1172.6651095655204 1 553512
301.29699575404356 0 7309
246.05165569707583 0 607
668.641997749999 0 67905
416.00835366227466 0 59353
761.9618913244955 1 260656
486.914742707294 0 18018
886.8301040464025 0 84594
669.6540283846272 0 50937
274.08884326277774 0 4057
686.2261571451343 0 66305
271.83859262034053 0 2906
706.1042879013563 0 17129
520.6030216092229 1 25044
7821.347960684064 6 1305626
2935.6759487468903 8 724220
5534.937549035646 8 1121943
3453.480671206831 3 516856
860.2019010801272 0 33246
2007.5837725404433 11 2282338
2422.616424088906 29 3001200
3287.4103391566 2 318990
5418.846928053297 5 915714
2601.3639705064497 1 475962
4613.158867555902 20 3668310
10686.308747415176 32 5206636
5506.13496890914 3 683699
7811.724904431029 12 1891792
2939.2812409594494 2 616343
10908.6500647951 6 1255857
5372.76366521802 9 1813644
2442.072816716694 3 265078
5695.542389364436 4 779813
4429.483460791389 9 1120055
4424.113443375297 2 738522
5437.588059343278 1 431494
8955.125653928373 9 913134
5602.681325177436 5 829296
4359.171942720327 1 517980
4550.020403205597 5 969068
6144.575979308749 1 454753
6884.102697745518 3 976512
4309.64185692281 3 877117
4186.743310803857 3 611105
4953.522512884926 2 1004089
4614.128863011286 5 297852
3365.4237828864857 0 581166
3367.987154189577 13 1490026
8780.248026387486 6 2306847
3996.7172606780287 6 1161807
1646.400732154515 0 144864
5322.1670704201 2 439841
4194.183101194049 0 93122
9438.463964033253 5 1393179
3352.6327036396438 2 540360
4550.257324643066 11 1627670
4593.927165876752 3 627095
246.61915539720087 0 507
516.3330811994908 0 24414
1586.0110429408637 1 261494
2547.118393822621 1 405295
1361.0762792049456 4 404046
244.43022798243283 0 201
426.8408458797707 0 8073
4678.523273774532 5 1040680
4075.2639308941357 1 928275
509.73265272790655 0 11527
293.68763282969246 0 11230
2317.858497292061 5 1344699
1264.74541012183 1 79562
830.4625273927079 0 69315
401.607377070639 0 11889
734.5567987985473 1 73391
617.8341172089449 0 26419
567.0462500014647 0 41267
615.6571878169817 0 75687
1525.7544715473186 1 169379
946.8585878122923 2 91488
311.22404189397656 0 13820
257.4016496995768 0 1270
846.4860812020712 0 67172
1972.7438048388708 7 1395927
20717.33808135357 33 8143348
9302.768879599893 34 6089287
668.5493916269099 0 115450
1277.1318461536912 1 357072
2372.5911536784365 11 1440836
482.8194358609161 2 147299
271.5550068823948 0 10607
388.656223199928 0 19176
461.89145306156627 0 96475
1831.513655946885 33 5656879
2427.4753209011396 38 8838011
2315.4346509644615 24 3162593
2352.241395381964 3 489377
250.13640628588797 0 1337
6271.033829153282 3 296516
271.3331273003911 0 6359
553.3244911652178 0 22523
1382.184538419213 0 273352
979.6786996490076 0 227182
897.1648382445426 1 91113
480.0005116669949 0 8289
620.8909984429388 0 89350
1789.8009722330155 0 476860
608.864532163387 0 22030
1571.185268417967 1 144060
1209.2543892081944 0 37787
628.8892009250003 0 26116
530.1073013373631 0 37271
594.8207571167859 0 14674
1293.4708101758404 2 437691
2870.4286249699226 1 303313
1546.0472222622475 0 97258
705.8003830408236 0 39757
949.458526070329 0 168644
1091.494385491968 4 331199
655.8585820063844 0 122427
329.06357991749553 0 6359
2649.38229275092 0 173202
1249.6984200521094 0 85809
511.6341452296242 0 13884
774.3252776486482 0 74499
572.6044492436096 1 27781
708.9273347522746 0 16906
3650.5205687379853 1 235649
3115.1249700447725 12 917064
651.4242611451231 0 48479
1414.6661272482888 4 702057
716.5089071007434 0 10311
250.5105819123441 0 103
256.0437039885633 0 4211
278.0203512893544 0 13603
6541.571251511506 23 2764944
1214.8966486716492 1 86916
577.8482240685081 0 8078
291.741172370409 0 12595
801.629169884957 1 102505
458.21547215811285 0 8478
1242.057351644678 2 558689
2969.097364296185 8 1127996
3335.882177591751 3 416961
1982.2676587609371 4 548515
484.13665753267463 0 55139
699.5414099568579 1 184942
608.2374112650192 1 153551
313.4980850719963 0 6316
773.8829382452798 1 164186
352.565149833992 0 7393
517.8760749982324 0 30449
777.1271403753253 0 100650
466.4398524276175 0 62329
878.0467333369795 0 161014
1485.4970990929924 1 178347
609.8704219615906 0 41876
619.2232442221631 1 72561
385.9948070332411 0 185527
480.1559492862558 0 15004
329.88258667433956 0 7053
