FPKM Num_errors Cov
3190.9450623249018 0 4566
12022.340598719187 2 191384
4036.6426664116034 0 12790
9932.95258977023 0 352033
12902.461599482322 2 260782
10553.669920871549 0 151015
2227.0858610177647 0 4894
5233.590299760844 0 38113
5938.462234580267 0 45674
4752.897501196253 0 72261
4558.995149439071 0 61508
5358.785770777452 1 142406
8411.80190993896 0 150888
3498.965328232546 1 130265
10767.642136630386 0 218734
13393.917750576453 0 298437
11189.03334990006 2 386543
6808.13631863081 0 79849
4993.752959395588 0 17609
8884.977225224851 1 88315
2306.3591265830737 0 5245
2406.4328952166957 0 11929
3400.077765167879 0 7211
7009.060268370986 0 47998
8926.381050953432 0 187489
3497.6680345891205 0 42631
2882.619799194478 0 23644
2311.9259888809165 0 8684
2016.7853680525673 0 773
10720.630950521234 0 115327
7519.282706341072 0 12873
2900.175116846989 0 55283
11101.550734287763 0 111482
2534.5605601563843 0 32058
4162.457149018197 0 47862
3194.8092868470544 0 19429
7725.920905860934 0 79558
3153.7695975307047 0 13619
4010.8157853527478 0 90187
3080.8064416892457 0 11021
10365.77734762217 2 46352
4129.053508070586 0 89786
1982.8678909701825 0 304
12204.424537943838 0 195530
5221.404936458994 0 43361
11203.978141751442 0 54967
3079.6120450187623 0 4328
11693.625368941608 1 181968
6023.6134779965905 0 7388
3243.646507403623 0 5636
2531.8837562707618 0 6793
16467.490751683596 0 136333
2133.219158349724 0 3216
3261.5770195021964 0 19335
5379.585192920358 0 8660
14152.593603579367 0 220956
2595.469707812023 0 8290
7146.318942403479 0 34147
3852.3669253921016 0 37209
10219.4065063331 1 150410
2654.132548479315 0 7867
11343.812337700478 0 173336
8203.197788142377 1 348162
7123.120021214348 0 79175
2295.201492879912 0 8152
14397.269348565893 0 187252
5422.042398194499 0 337219
8116.865229905611 0 202841
2474.5082438710956 0 3035
3887.7663037207435 1 17186
3409.397074141069 0 17772
3566.384842099384 0 25425
9046.87577514106 0 110267
18970.556017448867 1 283088
11717.930187977568 1 238637
3571.2548685983675 0 26281
3666.289524482249 0 20610
10963.02854849188 0 157713
9588.2542892575 3 215846
10681.287534390092 0 19651
10768.798973657144 2 179959
10595.692821645072 0 41153
3788.424274723243 0 7357
4443.3049418941055 0 64148
5827.166110796304 0 114204
5421.000209737257 0 115663
4161.305339688914 1 89743
3082.2899736709733 0 18981
2381.1648695523154 0 6632
2621.012604802692 0 12256
13010.640773620044 1 337105
15969.889696289405 2 222396
9665.162572275538 1 139289
6973.622026963304 2 117250
2556.305866572966 0 10843
2872.9741321125507 1 9470
5024.54646367541 1 107461
4370.28949291061 0 114239
2675.5542184371634 0 6905
12853.504994160203 0 134987
14523.977744402902 2 374831
8961.001405753057 0 120669
3595.522471080914 0 15986
11511.651018049974 1 323563
2983.4742310989477 0 4879
3212.6140130517033 0 24791
3498.2677317263137 0 12425
2041.5712166896947 0 939
7967.523707352916 0 33592
2961.9656303258116 0 6963
2181.381552823605 0 3846
2702.7200526830156 0 17127
46261.13501647925 0 222230
11173.936083595927 1 106213
16141.969447748284 0 206644
5675.394971807759 0 61343
3612.668737786071 0 7108
17202.054979869627 2 217138
5680.870213659674 0 132530
2983.1026540272587 0 15931
10282.463810961095 0 19180
10126.457712473624 0 18889
3578.8912284450143 0 9785
3472.1060385567357 0 15526
2849.351882347458 1 38151
5429.761147611832 1 36628
5236.310907107785 0 40675
9382.957384244468 0 100937
2750.903069133798 0 1687
1999.470851779742 0 562
3238.699751898314 1 13903
8462.983831021415 2 294746
2054.6164001829197 0 630
5403.949479648161 2 126622
5882.0201119134545 0 33216
2433.6233089545262 0 6405
16033.426747153833 0 161008
11869.190350832829 1 269013
3320.2166187506205 0 45813
3391.4009923981193 1 52168
3195.961697055921 0 59043
2975.054443195268 0 7906
5637.30868369971 1 267781
3936.2789159879217 0 6236
2372.880509230862 0 4123
4345.47789167607 0 9105
4626.037148575928 0 98938
5044.627577323697 0 9152
5349.406663539313 0 10115
3161.3246113437194 0 8401
7742.818141055632 0 100308
5715.443300114872 0 117564
10773.449697358128 1 186093
8121.800034072985 0 107293
13163.538064571723 2 291622
4470.030409582566 0 8338
17150.83938843936 1 271710
3998.348740673428 0 6130
2493.6151838244878 0 2931
14340.95507200594 1 286925
28607.558541851908 2 486837
9935.604890956307 2 18533
10885.215283940923 0 106250
1995.9130744634076 0 102
4711.148590841963 0 8547
2841.986403881136 0 4575
3169.241182240823 0 4292
2779.2452832708636 0 4474
2750.4100825482974 0 6044
2939.3100501440354 1 6384
4548.088706126466 0 15224
3820.0970169712277 0 6540
9451.686311238662 0 104816
3785.820095447955 0 60847
3881.641938134255 0 23110
4977.070140381861 0 57356
2377.1223254320903 0 3280
9423.840555505658 1 58996
3992.9485834530005 0 53361
6027.977923614962 3 229502
2078.9278785112024 0 1753
11457.269778359925 1 76410
4577.980852947901 0 57319
7431.841036090218 0 70263
7357.12112397069 2 60909
16973.750855529794 1 163945
8193.658985521697 5 723360
4988.84819038006 2 88086
11760.652071035758 0 266553
5597.945236817104 1 57359
3894.2230290558196 0 16518
1982.8678909701825 0 152
6159.073095116813 0 172801
5795.95027907926 0 163946
17429.24720561881 3 250290
3299.7972829216424 0 36425
9200.08802049623 2 110959
3808.4951763164845 1 50896
6111.814307100648 1 202553
11936.717997423579 2 95468
3659.1739698495808 1 21131
3494.9480865539826 0 17057
4033.529719123543 1 150785
4576.989448078538 0 68534
6589.5317922850145 1 98669
9326.325528267316 2 408937
8122.602876091366 0 209626
2690.569095477633 0 825
2490.25686999614 0 1209
2646.204778827313 0 20623
23017.262709105475 1 414052
3963.8721842984764 0 5672
2607.794300217051 0 4198
10002.062888396851 1 138266
19622.14723697157 0 319385
4050.063131099143 2 108559
12011.920154397276 1 160525
2397.9640092049103 0 19730
2735.4119137355933 0 6710
11846.199212611633 2 269400
9578.504882219888 2 121397
5510.238261400791 0 69977
