FPKM ErrorRate
48.32358793999823 0
102.80593260900578 0
202.7280259755407 0
98.42273393187763 0
173.35376124412656 0
86.7284824682557 0
123.5893191141872 0
231.48459830337669 0
83.94257377568152 0
71.34192252458585 0
62.69421155506557 0
46.34313048892995 0
201.5925668376266 0
79.88503374935102 0
101.67648266103798 0
69.07958840371201 0
120.20385966591444 0
90.56056287814775 0
79.49528509882423 0
204.6310095699829 0
142.14626070361754 0.0001575795776867318
52.94621472898279 0
82.61942463241557 0
54.51899422611672 0
113.83348517109744 0
36.690131584072724 0
45.16566350015031 0
48.04660088390476 0
36.92308480047953 0
124.57971437308908 0
101.22545231677206 0
140.17511810325217 0
184.93832945088235 0
188.914781158141 0
208.30385419576524 0
142.22885829837713 0.00019193857965451057
93.27088395365007 0
105.1617376922175 0
96.34799434825446 0
190.95061513150972 0
44.2715108144551 0
1133.6101981325746 8.515058881632167e-06
703.546344860734 0
88.81341375509668 0
2329.8233555886177 0
11670.056095463291 1.512243882595434e-06
7820.975583290416 3.4019198167499192e-06
6043.235132220091 2.676928224861971e-06
4172.635162800632 1.001712929108776e-05
572.5939417275846 0
1073.6377770293286 0
955.4999722227908 0
874.8711879187487 0
316.2339912722458 2.593831867818328e-05
435.34210803135784 0
882.7548480419279 0
52.280077605143916 0
73.88344211558416 0
71.89518641355203 0
131.55616908688208 0
63.68180272998433 0
120.77977178425351 0
350.60463177916455 0
431.0333363175223 0
408.1975678401164 0
343.32668070200583 0
602.8136676991923 0
633.844018846656 0
348.3985213084154 0
474.1297813327035 0
112.92407165320162 0
207.86594694761592 0
163.76966767164313 0
34.94298246102164 0
37.362112016015445 0
119.51794186204994 0
39.66675601593752 0
76.22498033003632 0
44.721381585194635 0
54.11023607567027 0
104.78734859442085 0
58.23830410170274 0
63.198601037261554 0
183.84405573614993 0
175.64672517073544 0
187.08816511097814 0
153.55932111317767 0
243.31963453691407 0
127.32939487316871 0
234.4223245941507 0
320.0731959795329 0
150.49039525066962 0
37.512319406684995 0
164.61374762730028 0
241.42016984928927 0
206.03512967274452 0
730.7763576246787 2.8979543340356044e-06
463.9991283542911 1.3447909522464733e-05
869.3614993997027 6.359785802414175e-06
373.3725162406975 0
1211.4001867363884 0
946.9714642091441 0
36.981323104581236 0
