FPKM ErrorRate
1596358.439939661 6.341289703933887e-06
31566.233563995684 8.669868738187303e-06
79661.34856173696 6.870963309055929e-06
5042.7014959890375 7.645508359407703e-06
10944.13006531553 4.926666568133335e-06
53786.47293572362 6.4580709742000065e-06
34803.53634033479 0
15082.811311481366 1.2739989553208566e-05
21228.104965800212 8.027163922714466e-06
25988.46580560276 1.1393804049357959e-05
22587.791611849818 0
22969.628962246432 0
63862.390029188224 1.1591622502584932e-05
29384.81056818438 2.52612433583981e-05
34327.74566020096 1.2528083787824373e-05
24308.233033105396 5.629267688566394e-06
9806.508689122806 1.860499730227539e-05
20642.89118173564 1.5648309460967902e-05
93939.10739834291 1.508073850376453e-05
17142.008852576982 0
14676.058892330699 1.5778843726331735e-05
16239.273309867904 2.3172420185495225e-05
53904.69005363159 1.314051813062989e-05
4943.327299949422 0
14863.014073246843 0
62883.50097845902 1.4482608800598614e-05
5901.639360054695 0
18512.153411307296 0
7537.961916558995 0
8351.371366296293 1.61404867970818e-05
53677.27386352484 4.807183855553739e-06
81985.24113840201 1.144492131616595e-05
152057.8273475345 0
7451.755300817565 0
25323.90298707344 7.838034847902933e-06
8465.733472605527 0
11572.969972421295 1.9268565262630546e-05
7088.597252878926 0
6948.8913455571565 0
5964.293179929104 0
11292.738454605162 0
3384.6900608721444 0
3880.704182500605 0
6457.052597888574 0
8588.322971531188 8.949586976561032e-06
13997.736597033787 0
10458.220330968174 0
15489.932555342204 0
28277.02758444832 6.723909549968734e-06
5761.291523634415 0
10492.238146091935 2.869193469715663e-05
63593.98780536515 1.0840813494644637e-05
58477.33517071911 6.571943060685322e-06
8851.121941728712 0
4385.499935213459 3.3759832551230545e-05
15803.277514479341 1.1545077756098688e-05
4942.967257716293 0
10244.327650011905 0
8095.279917611986 0
40542.28251429586 0
10368.94961803278 0
9337.074267550744 0
14209.211272933155 0
5704.877909037976 6.332320162107397e-05
23885.13810023166 0
9070.590974852717 0
93391.58931049913 2.302460409193264e-05
28864.185886285788 0
35726.505620341864 1.1490422732652335e-05
9609.280165932762 0
3751.851063712738 0
6764.365200550697 0
12058.046781794788 0
13636.198164577945 0
9964.047305276528 0
8608.032849038307 0
6242.848805783905 0
3026.7684303542237 0
1653.2256759998145 0
3657.275068057279 0
1721.9637390080009 0
1740.026295710882 0
1287.4243001674242 0
2677.021424672841 0
2059.7765554392663 0
3205.742563627343 0
1514.4398191402674 0
2799.4933388712616 0
2224.7049005715257 0
1791.2545638738557 0
2237.4992115694 0
2154.2609294302893 0
2762.0966811160874 0
3129.5756139939303 0
5181.144042684214 0
2140.960319494531 0
2770.1393779782243 0
27577.653537434577 0
4822.702639669262 0
1787.130610249768 0
3946.4106030552 0
16618.614669986102 0
6051.165311149604 0
1899.1488190457871 0
2985.590101680393 0
2494.890644585456 0
1457.0462406990778 0
1923.9063774609333 0
2041.0689074255677 0
2067.7700782037396 0
2018.3946341176954 0
2341.423421742048 0
1373.4626449759419 0
1300.5040826074414 0
5105.682694681066 0
2817.7588456494564 0
2965.6593099459888 0
1979.2276115953644 0
3249.51221716026 0
2453.927346348565 0
1560.7386958452473 0
2876.763197545535 0
2929.7466972073194 0
1816.2904240119358 0
1994.6223330467303 0
1541.6182116179943 0
21605.5966715232 0
2257.8195878601414 0
1080.4693009541622 0
2722.629380347615 0
2275.8821445630224 0
33372.07872163146 0
1635.9070751764582 0
2366.596318226381 0
1517.254763042015 0
1694.5198544051736 0
2864.756566002584 0
1264.378969201679 0
3998.200051349511 0
8122.464155853008 0
7458.497951126729 4.484707148623195e-05
2242.3373964005286 0
12322.276182705507 0
3559.1446957722587 0
2316.1358423580145 0
2299.296569918609 0
1914.6310105053997 0
2050.1001857770084 0
2768.4631179811768 0
4443.388948908758 0
29773.86690511168 0
67769.59777657401 3.2904803114110565e-06
35971.270250396345 0
30615.80204014373 7.563781588242858e-06
16060.967383677575 0
14650.383431120033 5.927436324515284e-06
1420.2873533739162 0
1976.2928420083388 0
2830.6606718658004 0
34992.95707386272 1.0121116021726662e-05
7679.904211180111 0
2046.3513532537686 0
5735.238056429402 0
2342.9716408880095 0
2334.3198280135207 0
2158.475525994295 0
3511.9892858819308 0
1258.3581169673855 0
2503.748244507061 0
2501.911535632638 0
2576.362059807213 0
3558.1124124944495 2.9686804215526198e-05
2243.2198010951183 8.344111143560432e-05
2247.7848341363183 0
2614.450067877492 0
1344.6569989922618 0
1607.5675465564204 0
1758.088852413763 0
2654.1734264535517 0
1442.4241709872217 0
1954.626671776065 0
2416.611295138217 0
1646.9767611808886 0
3132.950460114732 0
1786.0681069143045 0
2075.2926990731316 0
1738.5210826523087 0
1754.0749509242341 0
2960.7678955080473 0
6057.4533043978345 0
2691.3209487292884 0
2083.9674795949104 0
3517.6829178861 0
