ErrorRate Weights ExpressionLevel
4.714400730823507e-06 1058425407519.4567 1020.7866386868494
1.8248441583088803e-06 304524742374.76044 309.5264743985074
5.82736865847269e-06 393456555760.6069 730.5364341741655
3.2721288171359384e-06 800190815903.395 808.7647365772592
2.8698457213059112e-06 3074283601826.8657 1173.2562579329806
5.804559143690498e-06 171946122002.77213 370.1567798666549
1.0825140734912128e-05 42638041973.37542 428.9549520145392
6.279591611134479e-06 141146980001.34717 496.5074287881485
7.403947756840221e-06 98342601426.38991 643.4646465119824
5.848600066683867e-06 6238512656424.004 13749.486710618854
4.752466216045026e-06 1078191276564.4017 899.4325380373135
4.565971160514115e-06 3823049442018.3276 3347.4077422480723
4.470551176987994e-06 2049691086231.2378 1399.3566117179894
0.0 0 256.38074307238173
6.700474741265144e-06 1033528837924.2905 1720.350776622932
2.530982400633603e-06 798433518104.5806 568.0480942806935
5.154246468007747e-06 2832786195444.3423 2224.014676812887
0.0 0 191.3553631212856
0.0 0 201.1441237910641
6.080949601089706e-06 27424034066.028175 223.53663721456857
