ErrorRate Weights ExpressionLevel
4.5980741420233464e-06 422742093594.5859 406.7935236814781
5.386707311599373e-06 1415488096018.803 1029.00173756267
3.5729697048481054e-06 2334880216472.409 902.4408062274345
7.830406511061867e-06 31096611331.76053 238.7195013186181
6.084795077412973e-06 68148149270.144005 291.01684851447516
7.766148598433937e-06 250826549400.36676 515.279167585908
2.922906016944614e-06 1861599509847.9626 618.9102100531135
6.033749930441503e-06 433396617219.8914 569.1360466933763
2.357808182433366e-06 708365488020.2462 344.2977644355983
5.95461414790768e-06 375087164552.3804 670.0529905132634
4.566460262662794e-06 48445088472.00003 211.80395811708735
3.90003995680629e-06 916696583920.0541 734.2823152969028
5.468258053289916e-06 1698753927346.6204 1263.3314433888847
6.337878907722226e-06 307834811089.9734 466.96519988411325
6.84962224740303e-06 3063121090947.43 2811.9799094544705
6.878741204398304e-06 566330845960.3263 813.2595631739774
0.0 0 201.30908515642852
6.649741657799522e-06 5677193085148.716 9154.222075127633
6.02441843164967e-06 1297814948293.8376 1674.9258481563963
0.0 0 194.68800050994477
