ErrorRate Weights ExpressionLevel
7.166733847657553e-06 755645146292.1262 720.0496009458295
7.104556124987018e-06 1489769531304.292 1022.1079922807124
1.0254407893183233e-05 102329725826.72377 439.0264119357944
7.5553950125186914e-06 1588702854373.7432 1471.081187410618
6.392245491940501e-06 2484032207082.3076 1181.5103008129686
0.0 0 195.8015110083786
1.0228495451579046e-05 104161003510.37143 287.669561724691
7.440569014930476e-06 741084223761.8789 808.5597710568104
8.789714483050306e-06 412840751779.0264 653.1974014959466
8.226973350919418e-06 3879322727978.0586 4761.904429905326
7.644520945153673e-06 986305605315.797 913.7150723547693
6.652719136898519e-06 432778067708.6275 593.3871970850695
0.0 0 204.63785746853227
8.228685866088834e-06 65557177851.13553 247.03563369789842
7.198527120548609e-06 188571884512.24414 335.68614437522854
0.0 0 220.10090016310446
1.0774099989296979e-05 87140218878.74521 385.038657065707
6.064974490001971e-06 406315813287.57715 489.118982164132
3.843818782643854e-06 1236620737988.751 537.9851027338322
7.218748943284919e-06 3511645806313.816 2132.11794056767
