ErrorRate Weights ExpressionLevel
1.1858479729946091e-05 49232676294.01607 350.86037597193143
7.796619717448995e-06 288821648946.831 601.4438671989097
7.375942911114329e-06 990758836387.4012 1236.1535481530007
8.275670551985235e-06 872791576082.9362 1086.440408277815
1.0159987514532167e-05 827058626422.1141 1734.8964638665595
8.67292147353206e-06 421139708208.50195 803.8678921312721
5.430055339570601e-06 265863719894.60773 479.8085114170528
7.5972259347069855e-06 257145918223.09457 540.2704318233824
7.14242736535979e-06 547388715066.7285 734.7040980145429
0.0 0 207.7719452570015
8.363075937297472e-06 747228288144.1293 881.0863860522549
1.5009579275845116e-05 33073350951.586433 288.9919212537281
8.906702744374773e-06 733603390143.258 973.6834783229712
9.014822020239416e-06 303859926393.6221 670.9710885516203
8.828312329247318e-06 5247692489250.784 6193.110780752189
4.501665616278023e-06 49775276813.91301 219.97933446778762
7.303813524004603e-06 121916032710.39398 417.2037661980068
8.866404573238098e-06 2022376800048.5938 2449.7309014748066
1.922105703835733e-05 14737732687.798166 244.08154883410236
1.1433167366427057e-05 651242926548.2981 1448.0543126303378
