ErrorRate Weights ExpressionLevel
0.0 0 2100.5303042260066
5.0711369483466646e-06 339725197163.30005 7615.16899623941
6.378632241345209e-06 70404228708.522 6868.0543268200245
1.1678394149557602e-05 64286137655.332436 6058.39302728745
9.476581352706987e-06 92895808348.9933 10848.698728222611
0.0 0 3071.4544166757105
1.5692542795629564e-05 17617467707.055786 5382.779142933066
7.683222305795944e-06 23232499169.79665 3530.158051852415
0.0 0 2727.0371662086595
3.6328628775906855e-06 78685082541.34618 4015.45875746614
1.3993496555388976e-05 172203876648.78546 15674.314373433866
3.116666865800784e-06 220510005947.83765 4627.174314312671
1.4410564588127307e-05 57716400350.848206 12754.259709934267
2.9417821316153325e-05 1199967281.6538467 2467.879779661571
0.0 0 2311.7898013198705
1.5856773523897413e-05 61196214194.35736 9690.412238095758
1.055967012141217e-05 58180710729.81311 8581.702530716802
8.711872102333214e-06 187295251330.7472 67788.38751349732
0.0 0 2171.8912329366203
0.0 0 2038.0074230381886
