ErrorRate Weights ExpressionLevel
8.47078175585543e-06 32524354636.18282 376.10831635091535
5.425776950152991e-06 1656984566783.9895 941.2710435323017
4.841870662563498e-06 1125255629164.8486 510.3102021220635
5.777002290897986e-06 932767515987.6112 566.9622748816065
6.776519063271393e-06 76419524051.1547 418.3794845381463
0.0 0 134.47104670348335
4.409171075837742e-06 51783463087.248314 130.76676243177343
4.668158001190736e-06 326885040590.61365 291.68290964339974
6.57750295432278e-06 562329267463.3492 756.5139767652513
4.974293399340838e-06 73834955601.87903 141.87264814664402
7.029866813840802e-06 71116891992.97363 214.6475011380043
3.7797841340664523e-06 209773352807.10202 157.03995517098795
6.5040675210795215e-06 3701761237653.9536 1330.373826318752
3.4352971423416765e-06 246732212855.89087 182.97290227942102
8.871837421520923e-06 61321374359.743965 332.42237466230404
8.970404990608558e-06 1367766811190.8904 9330.909270860848
5.319702666564673e-06 900458604978.009 646.0223344137838
4.482328643360427e-06 500578149775.6786 461.61946981332665
0.0 0 127.74886440901304
2.4598607875388676e-06 752067916533.9839 249.72591384182655
