ErrorRate Weights ExpressionLevel
0.00011890771635482347 133726496.08936752 507.1093242799839
8.41448174701504e-06 45387173035.56776 991.0166302959045
1.3569019694805852e-05 37599589855.28455 1442.5034457649826
1.6036949130797357e-05 4131287656.9999995 753.1726129979259
1.358486550679834e-05 99307201492.73161 2562.622560094833
0.0 0 444.75566279083125
5.465346967552235e-06 35570786018.5625 862.770206860725
7.786895849805692e-06 149874229764.64172 1628.4272581731273
1.7350375628511055e-05 196559897769.18622 6912.193983443206
1.8420315388206934e-05 28967079328.966423 3057.165811997154
1.286307782366696e-05 160849756793.15488 2170.5056881809273
1.6624582623033198e-05 295781100259.9623 4661.494451212119
1.4394181894891647e-05 202834774488.3815 3538.1787791004726
1.0083378650363451e-05 89647668018.99292 1294.754528836156
7.085852239956055e-06 55027945283.16006 1168.1660361023644
8.912646334194358e-06 26259887771.9664 614.3679163149986
1.2063890363364379e-05 7300526392.999999 466.10599418677833
1.6880288132713636e-05 413396658574.22516 10121.577807763155
1.839079410285443e-05 102951684587.49403 1888.3298960367651
2.018781945234965e-05 264779597156.50623 38243.313587094664
