ErrorRate Weights ExpressionLevel
3.5802644474580434e-06 445466469456.0095 498.1095453519117
4.938921060331086e-06 831480773990.6062 616.9895330771113
4.018456920715331e-06 1727988979772.13 788.9683688386344
6.221365488783565e-06 450953149565.64905 694.0074624575366
6.498229476417231e-06 819494235450.6145 1231.0116729830227
5.11905655389889e-06 477950479294.3872 452.77894791687805
5.8385570201465425e-06 177547668860.4321 411.9705312083217
9.390464921918284e-06 11489547989.960531 168.89823728112412
6.685207285984501e-06 119729269584.44014 323.13046321374196
6.565792289641716e-06 54128651567.89106 277.90173400749273
0.0 0 153.72349820836484
7.531536773044041e-06 1427807342525.4468 1854.3113621802456
0.0 0 190.91732831931307
7.435601030290455e-06 45921413281.76418 237.0176124254092
6.632950747304761e-06 8983616928689.2 16070.507320611292
6.9208581139586e-06 4295556306590.817 3483.577496368994
4.462633338237025e-06 866740403856.9419 554.5039122867196
5.8407899734019425e-06 141255365960.88092 374.3720976492692
0.0 0 158.71567384507838
7.801985368275477e-06 519449799133.36957 931.2501582553929
