ErrorRate Weights ExpressionLevel
4.471058093533593e-06 9991698421863.951 250.6293032146958
4.6761407465063785e-06 3084484320822.334 84.76820271783811
4.019117151356459e-06 6901151380665.642 107.57633455977707
4.902184186039386e-06 2046439783538.2668 70.27171767439923
5.2211263100668764e-06 4006630953551.659 147.6420616962816
4.861455546399973e-06 1647315841427.6707 36.657183445515535
4.822911402380222e-06 2271632024199.321 60.180735790316774
4.218043986412016e-06 4627552656545.984 52.36416772863766
9.280022230644814e-06 81777503554.7215 32.47554032208639
6.0549500037241145e-06 748613795271.1663 24.96265805740863
6.095346303866631e-06 1196040785377.3564 41.227871314310306
9.275452142611515e-06 177366235772.92932 15.032040569508517
8.42262802414371e-06 171496962313.84875 12.617939209663136
5.839561296712754e-06 1313042028255.5894 28.579224974949142
4.070405112566763e-06 1133296898595.797 18.193587667285623
5.966200439018676e-05 799778973.1420101 10.651755803939986
4.179195095568382e-06 18054785292035.133 1621.0909302925259
3.714998097817349e-06 387718597625.09216 11.295670319986753
5.641438790374346e-06 943992680716.7618 21.56452704231165
4.914909291741865e-06 2938825166026.315 46.37907902428317
