ErrorRate Weights ExpressionLevel
4.472305897518574e-06 212339530281.52368 644.0793674072498
7.0344897289435695e-06 1876098850449.0518 1891.6695089671268
6.554646717480641e-06 610157142171.0752 1341.4920884873627
6.250307140400019e-05 492147849.6384854 376.2152454753071
0.0 0 401.4480966490805
6.182343115992323e-06 930548807497.619 1143.143101523209
4.87061804511162e-06 180138028835.78903 477.9156510480001
5.994144024973941e-06 2477019765785.9263 2326.6502102037584
1.1905952500011907e-06 713958391719.3248 428.2187144596941
6.914559596590774e-06 419385583699.351 752.3324256070188
7.853667345184012e-06 312420102039.1431 1249.7437453643947
7.714885389084864e-06 2045508929008.068 3160.801748216087
8.650723454239736e-06 73728809788.4314 556.1372528174966
5.71034505710036e-06 648063820349.0764 1040.6303230994804
6.884052401450384e-06 804048888737.1519 1478.9764208105116
7.979073492632335e-06 3812876344609.3003 8315.10832598793
0.0 0 386.16190010985736
6.009047280679452e-06 346366023801.4843 856.2922774051635
6.9942463564020085e-06 397541952625.76764 947.7798961353883
7.052351944740259e-06 1365570025639.603 1643.6707811223891
