ErrorRate Weights ExpressionLevel
0.0 0 222.1849214346787
5.758070811681748e-06 157443365462.63394 476.1572820594989
0.0 0 215.10326920305621
5.340067339050777e-06 2140431716373.5188 1967.547541762165
8.735657413286722e-06 67582501438.47398 410.6327216565481
5.444481495784518e-06 885768255708.9783 1525.49493961444
3.492051813339955e-06 573857174040.8368 601.8232373653381
4.620437198708415e-06 924809040915.654 867.080660921952
5.412137474323933e-06 4257677066708.621 2985.2464711218054
8.843442539754441e-06 35433543642.74289 290.2429637512561
5.384546905077968e-06 7127276042545.017 11075.384602359347
4.593604305874309e-06 1826747430056.069 1241.7743134091322
4.777658912939404e-06 1677113842389.9954 1071.5006357886848
5.126032661332307e-06 170861280980.13522 539.4421316469985
5.063812357572341e-06 209832668530.82684 664.0160536350991
4.783815948970538e-06 1027791771743.6371 785.3807108008936
1.1262670795401342e-05 30163332408.88885 239.43928991737053
4.9459820860642155e-06 121454375238.52031 346.82781624795007
3.3392907927714382e-06 762936478619.9142 727.0388773275967
5.273228509994449e-06 495353735608.3248 961.0424900300746
