ErrorRate Weights ExpressionLevel
2.464579318486398e-06 557269147434.1886 120.25030886572509
2.478786471944821e-06 898682750138.0621 100.28999976042196
1.8662841197442744e-06 4790783179307.509 280.1338758230601
2.763561118775861e-06 1218252343391.2637 363.92233822960105
2.9592324443284543e-06 198688424517.20236 167.13138060953094
7.044838395009692e-05 273982440.8549327 50.26772649664539
3.97496256802647e-06 170555724274.24402 68.33860548497675
2.236735598573763e-06 29229627549906.5 7401.875461968488
2.712789956978165e-06 1975265158337.0303 193.4647963067978
2.5664983725632633e-06 7173266144684.781 559.4323677830299
2.274241789492159e-06 2624704484513.3086 228.19549315532112
6.454419534687987e-07 2412120376491.983 83.70677964557828
6.160895048818083e-06 81789472370.75429 91.5728539427129
6.4423015845733294e-06 42485234289.3168 148.13834143148145
5.834387634183049e-06 173560001634.52234 1296.6164745419564
2.616598947866365e-06 213966059713.22443 132.89560697876883
1.6164559677373254e-06 1797753676007.9917 109.69187197054488
2.9207995980979755e-06 117790384366.3611 60.13059746590663
6.6006741239552274e-06 42491414678.78454 53.85553651757305
8.015340973053947e-06 40816759501.475075 75.9782665556269
