ErrorRate Weights ExpressionLevel
3.714345171230685e-06 212124146304.92242 105.79486134804353
8.97293363633187e-06 1054907605330.6111 445.01336799132594
7.706009501545942e-06 1078627602239.5018 394.6551529258143
6.836364654322699e-06 261990071987.31317 159.6239247658554
8.100763438895506e-06 3236195202033.0625 1066.6453545889535
8.508225425261976e-06 220667139007.22354 183.73557679499763
1.1638738816687402e-05 121084516016.08122 212.41170353135482
7.852869595960358e-06 319378253082.2802 272.5520272134599
7.244685417675929e-06 444464779447.7505 241.76158102248056
8.149345636864474e-06 1396391313562.1843 618.1423587682619
8.002155434147857e-06 794991266370.1493 349.4164163113645
6.019122133541655e-06 208567034925.02872 122.00122417375066
7.833589394269367e-06 1451788024471.2412 518.7288264525882
7.782113410150407e-06 2252419518267.7656 774.9724207313725
7.754484138919563e-06 8916199625467.12 6300.981165731564
5.218615101786535e-06 340072579827.0176 140.05501507657303
9.055374373105445e-06 522066044763.2357 307.08498037057956
8.99164651883208e-06 2767824738944.1235 1679.936688993492
1.24836417474927e-05 18078020789.58131 93.8436939482085
0.0 0 85.78758023919625
